

(Table III)	Centrality  0-10%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
 0.153      |   8.216 |   6.239 | \pm 0.014     |  39.50 |  30.60 | \pm 1.36    | 0.83         | 18 .6 | \pm  1.18   | \pm  1.13   | \pm  2.13   
 0.131      |   7.045 |   5.342 | \pm 0.012     |  38.08 |  29.47 | \pm 1.31    | 0.68         | 16 .6 | \pm  1.07   | \pm  1.20   | \pm  2.08   
 0.109      |   5.871 |   4.439 | \pm 0.009     |  36.53 |  28.20 | \pm 1.30    | 0.54         | 14 .7 | \pm  1.08   | \pm  1.31   | \pm  2.14   
 0.087      |   4.697 |   3.532 | \pm 0.007     |  35.06 |  27.06 | \pm 1.31    | 0.51         | 12 .4 | \pm  1.03   | \pm  1.57   | \pm  2.29   
 0.066      |   3.547 |   2.756 | \pm 0.005     |  32.64 |  25.34 | \pm 1.37    | 0.46         | 10 .4 | \pm  1.02   | \pm  1.72   | \pm  2.42   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table VIII)	Centrality 25-35%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  30.796 |  23.836 | \pm 0.065     |  41.09 |  31.80 | \pm 1.05    | 0.77         | 48 .0 | \pm  1.99   | \pm  0.38   | \pm  2.28   
 0.678      |  29.940 |  23.193 | \pm 0.063     |  41.40 |  32.07 | \pm 1.06    | 0.83         | 48 .9 | \pm  1.53   | \pm  0.13   | \pm  1.87   
 0.656      |  28.970 |  22.412 | \pm 0.062     |  41.18 |  31.85 | \pm 1.07    | 0.81         | 47 .9 | \pm  1.52   | \pm  0.55   | \pm  1.94   
 0.634      |  27.967 |  21.605 | \pm 0.060     |  41.07 |  31.73 | \pm 1.09    | 0.84         | 46 .8 | \pm  1.36   | \pm  0.47   | \pm  1.81   
 0.613      |  26.977 |  20.823 | \pm 0.059     |  40.97 |  31.62 | \pm 1.11    | 0.85         | 45 .4 | \pm  1.15   | \pm  0.55   | \pm  1.69   
 0.591      |  26.003 |  20.068 | \pm 0.058     |  40.72 |  31.42 | \pm 1.12    | 0.88         | 44 .1 | \pm  1.23   | \pm  0.36   | \pm  1.71   
 0.569      |  25.020 |  19.289 | \pm 0.056     |  40.64 |  31.33 | \pm 1.15    | 0.89         | 42 .6 | \pm  1.43   | \pm  0.53   | \pm  1.91   
 0.547      |  24.036 |  18.502 | \pm 0.055     |  40.41 |  31.11 | \pm 1.17    | 0.91         | 41 .1 | \pm  1.35   | \pm  0.55   | \pm  1.87   
 0.525      |  23.058 |  17.722 | \pm 0.053     |  40.37 |  31.03 | \pm 1.20    | 0.91         | 40 .0 | \pm  1.37   | \pm  0.44   | \pm  1.87   
 0.503      |  22.086 |  16.943 | \pm 0.052     |  40.25 |  30.88 | \pm 1.23    | 0.90         | 38 .8 | \pm  1.54   | \pm  0.55   | \pm  2.05   
 0.481      |  21.108 |  16.155 | \pm 0.050     |  40.05 |  30.66 | \pm 1.26    | 0.91         | 37 .2 | \pm  1.56   | \pm  0.48   | \pm  2.07   
 0.459      |  20.126 |  15.356 | \pm 0.049     |  40.00 |  30.53 | \pm 1.30    | 0.92         | 35 .9 | \pm  1.59   | \pm  0.39   | \pm  2.09   
 0.438      |  19.143 |  14.554 | \pm 0.047     |  39.77 |  30.26 | \pm 1.34    | 0.92         | 34 .6 | \pm  1.62   | \pm  0.42   | \pm  2.15   
 0.416      |  18.163 |  13.755 | \pm 0.046     |  39.51 |  29.96 | \pm 1.38    | 0.88         | 33 .3 | \pm  1.70   | \pm  0.52   | \pm  2.25   
 0.394      |  17.184 |  12.962 | \pm 0.044     |  39.36 |  29.73 | \pm 1.44    | 0.91         | 31 .8 | \pm  1.72   | \pm  0.50   | \pm  2.29   
 0.372      |  16.206 |  12.172 | \pm 0.043     |  39.43 |  29.67 | \pm 1.50    | 0.95         | 30 .6 | \pm  1.64   | \pm  0.43   | \pm  2.27   
 0.350      |  15.249 |  11.420 | \pm 0.029     |  39.31 |  29.50 | \pm 1.11    | 0.98         | 29 .2 | \pm  1.63   | \pm  0.51   | \pm  2.04   
 0.328      |  14.299 |  10.736 | \pm 0.028     |  38.92 |  29.31 | \pm 1.14    | 1.00         | 27 .9 | \pm  1.55   | \pm  0.53   | \pm  2.00   
 0.306      |  13.362 |  10.063 | \pm 0.027     |  38.24 |  28.93 | \pm 1.18    | 0.97         | 26 .5 | \pm  1.56   | \pm  0.56   | \pm  2.04   
 0.284      |  12.422 |   9.381 | \pm 0.026     |  37.66 |  28.62 | \pm 1.22    | 0.95         | 25 .2 | \pm  1.48   | \pm  0.63   | \pm  2.02   
 0.263      |  11.476 |   8.689 | \pm 0.024     |  37.27 |  28.42 | \pm 1.28    | 0.97         | 23 .9 | \pm  1.35   | \pm  0.59   | \pm  1.95   
 0.241      |  10.531 |   7.990 | \pm 0.023     |  36.55 |  27.96 | \pm 1.33    | 0.91         | 22 .4 | \pm  1.35   | \pm  0.60   | \pm  1.99   
 0.219      |   9.581 |   7.281 | \pm 0.018     |  35.75 |  27.42 | \pm 1.13    | 0.78         | 21 .0 | \pm  1.21   | \pm  0.67   | \pm  1.78   
 0.197      |   8.626 |   6.560 | \pm 0.017     |  35.01 |  26.95 | \pm 1.19    | 0.73         | 19 .3 | \pm  1.15   | \pm  0.74   | \pm  1.81   
 0.175      |   7.670 |   5.832 | \pm 0.013     |  34.26 |  26.41 | \pm 1.09    | 0.63         | 17 .6 | \pm  1.20   | \pm  0.74   | \pm  1.78   
 0.153      |   6.712 |   5.099 | \pm 0.013     |  33.65 |  25.96 | \pm 1.19    | 0.59         | 16 .0 | \pm  1.12   | \pm  0.82   | \pm  1.82   
 0.131      |   5.756 |   4.365 | \pm 0.010     |  32.98 |  25.42 | \pm 1.16    | 0.53         | 14 .3 | \pm  0.98   | \pm  0.85   | \pm  1.74   
 0.109      |   4.800 |   3.629 | \pm 0.009     |  31.80 |  24.50 | \pm 1.17    | 0.48         | 12 .4 | \pm  1.01   | \pm  0.95   | \pm  1.82   
 0.087      |   3.841 |   2.888 | \pm 0.006     |  30.92 |  23.78 | \pm 1.17    | 0.54         | 10 .7 | \pm  0.94   | \pm  1.11   | \pm  1.87   
 0.066      |   2.902 |   2.255 | \pm 0.005     |  28.55 |  22.23 | \pm 1.20    | 0.47         |  9 .0 | \pm  0.98   | \pm  1.24   | \pm  1.98   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table IX)	Centrality 30-40%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  24.860 |  19.241 | \pm 0.058     |  34.21 |  26.48 | \pm 0.88    | 0.75         | 47 .0 | \pm  1.14   | \pm  0.33   | \pm  1.47   
 0.678      |  24.177 |  18.729 | \pm 0.057     |  34.00 |  26.34 | \pm 0.88    | 0.77         | 45 .9 | \pm  1.12   | \pm  0.30   | \pm  1.46   
 0.656      |  23.382 |  18.088 | \pm 0.055     |  33.88 |  26.21 | \pm 0.90    | 0.81         | 44 .2 | \pm  0.91   | \pm  0.29   | \pm  1.31   
 0.634      |  22.573 |  17.438 | \pm 0.054     |  33.73 |  26.06 | \pm 0.91    | 0.90         | 42 .5 | \pm  1.10   | \pm  0.25   | \pm  1.45   
 0.613      |  21.776 |  16.808 | \pm 0.053     |  33.63 |  25.96 | \pm 0.93    | 0.94         | 40 .9 | \pm  1.08   | \pm  0.27   | \pm  1.44   
 0.591      |  20.986 |  16.195 | \pm 0.051     |  33.54 |  25.89 | \pm 0.94    | 0.92         | 39 .8 | \pm  0.97   | \pm  0.25   | \pm  1.38   
 0.569      |  20.198 |  15.571 | \pm 0.050     |  33.46 |  25.80 | \pm 0.97    | 0.97         | 38 .4 | \pm  1.04   | \pm  0.26   | \pm  1.44   
 0.547      |  19.406 |  14.937 | \pm 0.049     |  33.43 |  25.74 | \pm 0.99    | 1.01         | 37 .2 | \pm  1.04   | \pm  0.24   | \pm  1.45   
 0.525      |  18.616 |  14.307 | \pm 0.048     |  33.48 |  25.74 | \pm 1.02    | 1.03         | 36 .0 | \pm  1.04   | \pm  0.25   | \pm  1.48   
 0.503      |  17.830 |  13.678 | \pm 0.046     |  33.37 |  25.61 | \pm 1.05    | 1.06         | 34 .7 | \pm  1.07   | \pm  0.28   | \pm  1.52   
 0.481      |  17.040 |  13.040 | \pm 0.045     |  33.31 |  25.51 | \pm 1.08    | 1.03         | 33 .4 | \pm  1.11   | \pm  0.28   | \pm  1.58   
 0.459      |  16.246 |  12.395 | \pm 0.043     |  33.30 |  25.43 | \pm 1.12    | 1.04         | 32 .2 | \pm  1.03   | \pm  0.28   | \pm  1.55   
 0.438      |  15.451 |  11.746 | \pm 0.042     |  33.14 |  25.23 | \pm 1.16    | 1.03         | 31 .0 | \pm  1.09   | \pm  0.34   | \pm  1.63   
 0.416      |  14.662 |  11.103 | \pm 0.041     |  32.95 |  24.99 | \pm 1.20    | 0.97         | 29 .7 | \pm  1.18   | \pm  0.38   | \pm  1.73   
 0.394      |  13.869 |  10.461 | \pm 0.040     |  32.84 |  24.83 | \pm 1.25    | 0.99         | 28 .4 | \pm  1.21   | \pm  0.33   | \pm  1.77   
 0.372      |  13.081 |   9.824 | \pm 0.038     |  32.69 |  24.61 | \pm 1.30    | 1.00         | 26 .8 | \pm  1.08   | \pm  0.36   | \pm  1.73   
 0.350      |  12.306 |   9.216 | \pm 0.026     |  32.49 |  24.40 | \pm 0.95    | 1.00         | 25 .5 | \pm  1.05   | \pm  0.35   | \pm  1.46   
 0.328      |  11.540 |   8.663 | \pm 0.025     |  31.92 |  24.08 | \pm 0.98    | 0.99         | 24 .2 | \pm  1.05   | \pm  0.36   | \pm  1.48   
 0.306      |  10.781 |   8.119 | \pm 0.024     |  31.35 |  23.78 | \pm 1.00    | 0.94         | 23 .1 | \pm  1.05   | \pm  0.36   | \pm  1.49   
 0.284      |  10.020 |   7.565 | \pm 0.023     |  30.76 |  23.49 | \pm 1.04    | 0.91         | 22 .0 | \pm  1.01   | \pm  0.35   | \pm  1.49   
 0.263      |   9.258 |   7.008 | \pm 0.022     |  30.22 |  23.20 | \pm 1.07    | 0.83         | 20 .8 | \pm  0.93   | \pm  0.36   | \pm  1.46   
 0.241      |   8.494 |   6.443 | \pm 0.021     |  29.75 |  22.94 | \pm 1.12    | 0.77         | 19 .5 | \pm  0.91   | \pm  0.39   | \pm  1.49   
 0.219      |   7.727 |   5.870 | \pm 0.016     |  29.20 |  22.62 | \pm 0.95    | 0.70         | 18 .3 | \pm  0.85   | \pm  0.37   | \pm  1.33   
 0.197      |   6.958 |   5.290 | \pm 0.015     |  28.62 |  22.29 | \pm 1.01    | 0.65         | 17 .0 | \pm  0.76   | \pm  0.38   | \pm  1.32   
 0.175      |   6.187 |   4.702 | \pm 0.012     |  27.94 |  21.88 | \pm 0.93    | 0.59         | 15 .5 | \pm  0.83   | \pm  0.46   | \pm  1.33   
 0.153      |   5.416 |   4.112 | \pm 0.011     |  27.29 |  21.40 | \pm 1.00    | 0.50         | 14 .0 | \pm  0.84   | \pm  0.56   | \pm  1.42   
 0.131      |   4.645 |   3.520 | \pm 0.009     |  26.74 |  20.98 | \pm 0.99    | 0.50         | 12 .5 | \pm  0.81   | \pm  0.60   | \pm  1.41   
 0.109      |   3.873 |   2.926 | \pm 0.008     |  25.80 |  20.22 | \pm 1.01    | 0.50         | 10 .9 | \pm  0.86   | \pm  0.66   | \pm  1.48   
 0.087      |   3.098 |   2.328 | \pm 0.006     |  24.72 |  19.40 | \pm 1.02    | 0.54         |  9 .4 | \pm  0.75   | \pm  0.74   | \pm  1.46   
 0.066      |   2.341 |   1.819 | \pm 0.004     |  22.77 |  17.95 | \pm 1.02    | 0.49         |  8 .0 | \pm  0.64   | \pm  0.81   | \pm  1.45   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table X)	Centrality 35-45%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  19.726 |  15.268 | \pm 0.051     |  29.23 |  22.62 | \pm 0.80    | 1.12         | 40 .0 | \pm  0.69   | \pm  0.09   | \pm  1.06   
 0.678      |  19.191 |  14.867 | \pm 0.050     |  29.24 |  22.65 | \pm 0.81    | 1.02         | 39 .0 | \pm  0.58   | \pm  0.17   | \pm  1.01   
 0.656      |  18.568 |  14.364 | \pm 0.049     |  29.05 |  22.47 | \pm 0.82    | 0.98         | 38 .2 | \pm  0.76   | \pm  0.16   | \pm  1.13   
 0.634      |  17.920 |  13.844 | \pm 0.048     |  29.04 |  22.43 | \pm 0.83    | 1.09         | 37 .1 | \pm  0.73   | \pm  0.13   | \pm  1.12   
 0.613      |  17.291 |  13.348 | \pm 0.046     |  28.91 |  22.31 | \pm 0.85    | 1.06         | 36 .2 | \pm  0.77   | \pm  0.10   | \pm  1.15   
 0.591      |  16.672 |  12.867 | \pm 0.045     |  28.64 |  22.10 | \pm 0.86    | 1.04         | 35 .3 | \pm  0.86   | \pm  0.20   | \pm  1.23   
 0.569      |  16.044 |  12.369 | \pm 0.044     |  28.57 |  22.02 | \pm 0.88    | 1.06         | 34 .2 | \pm  0.79   | \pm  0.18   | \pm  1.20   
 0.547      |  15.417 |  11.867 | \pm 0.043     |  28.48 |  21.92 | \pm 0.90    | 1.07         | 33 .3 | \pm  0.91   | \pm  0.24   | \pm  1.30   
 0.525      |  14.789 |  11.366 | \pm 0.042     |  28.48 |  21.89 | \pm 0.92    | 1.12         | 32 .2 | \pm  0.88   | \pm  0.21   | \pm  1.29   
 0.503      |  14.165 |  10.866 | \pm 0.041     |  28.36 |  21.76 | \pm 0.94    | 1.10         | 31 .2 | \pm  0.82   | \pm  0.21   | \pm  1.26   
 0.481      |  13.537 |  10.360 | \pm 0.040     |  28.27 |  21.64 | \pm 0.97    | 1.11         | 29 .9 | \pm  0.85   | \pm  0.20   | \pm  1.31   
 0.459      |  12.908 |   9.849 | \pm 0.039     |  28.14 |  21.47 | \pm 1.00    | 1.11         | 28 .8 | \pm  0.92   | \pm  0.21   | \pm  1.38   
 0.438      |  12.276 |   9.334 | \pm 0.037     |  28.00 |  21.28 | \pm 1.03    | 1.10         | 27 .7 | \pm  0.88   | \pm  0.23   | \pm  1.37   
 0.416      |  11.648 |   8.822 | \pm 0.036     |  27.82 |  21.07 | \pm 1.06    | 1.08         | 26 .6 | \pm  0.89   | \pm  0.23   | \pm  1.40   
 0.394      |  11.019 |   8.313 | \pm 0.035     |  27.61 |  20.83 | \pm 1.09    | 1.04         | 25 .5 | \pm  0.96   | \pm  0.26   | \pm  1.47   
 0.372      |  10.391 |   7.805 | \pm 0.034     |  27.49 |  20.65 | \pm 1.13    | 0.98         | 24 .5 | \pm  0.85   | \pm  0.26   | \pm  1.44   
 0.350      |   9.774 |   7.322 | \pm 0.023     |  27.32 |  20.46 | \pm 0.83    | 0.92         | 23 .4 | \pm  0.81   | \pm  0.21   | \pm  1.18   
 0.328      |   9.165 |   6.883 | \pm 0.022     |  26.94 |  20.23 | \pm 0.85    | 0.89         | 22 .4 | \pm  0.75   | \pm  0.21   | \pm  1.15   
 0.306      |   8.562 |   6.451 | \pm 0.021     |  26.60 |  20.05 | \pm 0.87    | 0.86         | 21 .4 | \pm  0.72   | \pm  0.16   | \pm  1.14   
 0.284      |   7.959 |   6.013 | \pm 0.020     |  26.19 |  19.83 | \pm 0.90    | 0.82         | 20 .2 | \pm  0.73   | \pm  0.21   | \pm  1.18   
 0.263      |   7.353 |   5.569 | \pm 0.019     |  25.80 |  19.62 | \pm 0.93    | 0.75         | 19 .3 | \pm  0.73   | \pm  0.22   | \pm  1.21   
 0.241      |   6.748 |   5.122 | \pm 0.018     |  25.24 |  19.28 | \pm 0.97    | 0.65         | 18 .3 | \pm  0.80   | \pm  0.29   | \pm  1.29   
 0.219      |   6.138 |   4.666 | \pm 0.014     |  24.84 |  19.05 | \pm 0.83    | 0.63         | 17 .1 | \pm  0.61   | \pm  0.29   | \pm  1.07   
 0.197      |   5.527 |   4.205 | \pm 0.013     |  24.45 |  18.82 | \pm 0.88    | 0.61         | 15 .9 | \pm  0.62   | \pm  0.28   | \pm  1.11   
 0.175      |   4.915 |   3.739 | \pm 0.011     |  24.05 |  18.53 | \pm 0.81    | 0.62         | 14 .7 | \pm  0.55   | \pm  0.30   | \pm  1.03   
 0.153      |   4.303 |   3.270 | \pm 0.010     |  23.55 |  18.15 | \pm 0.88    | 0.57         | 13 .3 | \pm  0.60   | \pm  0.37   | \pm  1.13   
 0.131      |   3.691 |   2.801 | \pm 0.008     |  22.88 |  17.57 | \pm 0.85    | 0.53         | 11 .8 | \pm  0.59   | \pm  0.38   | \pm  1.11   
 0.109      |   3.076 |   2.328 | \pm 0.007     |  22.21 |  16.99 | \pm 0.88    | 0.56         | 10 .4 | \pm  0.51   | \pm  0.41   | \pm  1.10   
 0.087      |   2.461 |   1.851 | \pm 0.005     |  21.27 |  16.15 | \pm 0.89    | 0.61         |  8 .9 | \pm  0.56   | \pm  0.47   | \pm  1.16   
 0.066      |   1.859 |   1.445 | \pm 0.004     |  19.60 |  14.74 | \pm 0.92    | 0.59         |  7 .4 | \pm  0.70   | \pm  0.52   | \pm  1.27   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XI)	Centrality 40-50%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  15.446 |  11.955 | \pm 0.044     |  23.99 |  18.57 | \pm 0.65    | 1.07         | 36 .0 | \pm  1.02   | \pm  0.17   | \pm  1.22   
 0.678      |  15.032 |  11.644 | \pm 0.043     |  23.87 |  18.49 | \pm 0.66    | 1.08         | 35 .1 | \pm  0.64   | \pm  0.18   | \pm  0.93   
 0.656      |  14.534 |  11.243 | \pm 0.042     |  24.03 |  18.59 | \pm 0.68    | 1.24         | 34 .0 | \pm  0.61   | \pm  0.06   | \pm  0.91   
 0.634      |  14.033 |  10.841 | \pm 0.041     |  24.11 |  18.63 | \pm 0.69    | 1.25         | 33 .2 | \pm  0.78   | \pm  0.16   | \pm  1.06   
 0.613      |  13.547 |  10.457 | \pm 0.041     |  23.98 |  18.51 | \pm 0.71    | 1.18         | 32 .4 | \pm  0.77   | \pm  0.17   | \pm  1.06   
 0.591      |  13.055 |  10.075 | \pm 0.040     |  23.97 |  18.50 | \pm 0.73    | 1.15         | 31 .6 | \pm  0.80   | \pm  0.16   | \pm  1.09   
 0.569      |  12.561 |   9.684 | \pm 0.038     |  23.89 |  18.42 | \pm 0.74    | 1.16         | 30 .8 | \pm  0.68   | \pm  0.14   | \pm  1.02   
 0.547      |  12.072 |   9.293 | \pm 0.037     |  23.70 |  18.24 | \pm 0.76    | 1.09         | 30 .2 | \pm  0.74   | \pm  0.14   | \pm  1.07   
 0.525      |  11.583 |   8.903 | \pm 0.037     |  23.65 |  18.17 | \pm 0.78    | 1.02         | 29 .3 | \pm  0.63   | \pm  0.12   | \pm  1.01   
 0.503      |  11.093 |   8.510 | \pm 0.036     |  23.66 |  18.15 | \pm 0.81    | 1.05         | 28 .1 | \pm  0.65   | \pm  0.15   | \pm  1.05   
 0.481      |  10.600 |   8.112 | \pm 0.035     |  23.64 |  18.09 | \pm 0.83    | 1.00         | 27 .3 | \pm  0.66   | \pm  0.17   | \pm  1.08   
 0.459      |  10.106 |   7.711 | \pm 0.034     |  23.56 |  17.98 | \pm 0.86    | 0.95         | 26 .2 | \pm  0.58   | \pm  0.16   | \pm  1.05   
 0.438      |   9.610 |   7.306 | \pm 0.033     |  23.42 |  17.81 | \pm 0.89    | 0.86         | 25 .2 | \pm  0.60   | \pm  0.14   | \pm  1.08   
 0.416      |   9.116 |   6.904 | \pm 0.032     |  23.27 |  17.62 | \pm 0.92    | 0.80         | 23 .9 | \pm  0.67   | \pm  0.18   | \pm  1.15   
 0.394      |   8.620 |   6.503 | \pm 0.030     |  23.36 |  17.62 | \pm 0.96    | 0.81         | 22 .9 | \pm  0.55   | \pm  0.17   | \pm  1.12   
 0.372      |   8.131 |   6.107 | \pm 0.029     |  23.21 |  17.44 | \pm 1.00    | 0.72         | 22 .0 | \pm  0.62   | \pm  0.18   | \pm  1.19   
 0.350      |   7.652 |   5.731 | \pm 0.020     |  22.92 |  17.18 | \pm 0.73    | 0.64         | 20 .9 | \pm  0.77   | \pm  0.24   | \pm  1.08   
 0.328      |   7.176 |   5.388 | \pm 0.019     |  22.61 |  17.05 | \pm 0.76    | 0.63         | 19 .8 | \pm  0.74   | \pm  0.21   | \pm  1.08   
 0.306      |   6.706 |   5.050 | \pm 0.018     |  22.30 |  16.92 | \pm 0.78    | 0.62         | 18 .8 | \pm  0.70   | \pm  0.20   | \pm  1.07   
 0.284      |   6.235 |   4.708 | \pm 0.018     |  22.05 |  16.82 | \pm 0.81    | 0.60         | 18 .0 | \pm  0.65   | \pm  0.20   | \pm  1.06   
 0.263      |   5.762 |   4.362 | \pm 0.017     |  21.72 |  16.65 | \pm 0.85    | 0.59         | 17 .0 | \pm  0.61   | \pm  0.22   | \pm  1.06   
 0.241      |   5.287 |   4.011 | \pm 0.016     |  21.38 |  16.47 | \pm 0.89    | 0.60         | 16 .0 | \pm  0.55   | \pm  0.23   | \pm  1.07   
 0.219      |   4.811 |   3.656 | \pm 0.012     |  20.89 |  16.16 | \pm 0.76    | 0.57         | 14 .9 | \pm  0.58   | \pm  0.24   | \pm  0.98   
 0.197      |   4.333 |   3.295 | \pm 0.012     |  20.52 |  15.95 | \pm 0.81    | 0.53         | 13 .9 | \pm  0.51   | \pm  0.25   | \pm  0.99   
 0.175      |   3.852 |   2.929 | \pm 0.009     |  20.17 |  15.72 | \pm 0.76    | 0.54         | 12 .8 | \pm  0.49   | \pm  0.28   | \pm  0.94   
 0.153      |   3.372 |   2.561 | \pm 0.009     |  19.78 |  15.44 | \pm 0.82    | 0.51         | 11 .6 | \pm  0.45   | \pm  0.28   | \pm  0.98   
 0.131      |   2.891 |   2.192 | \pm 0.007     |  19.34 |  15.10 | \pm 0.81    | 0.49         | 10 .6 | \pm  0.43   | \pm  0.28   | \pm  0.96   
 0.109      |   2.410 |   1.821 | \pm 0.006     |  18.81 |  14.69 | \pm 0.85    | 0.46         |  9 .3 | \pm  0.36   | \pm  0.33   | \pm  0.98   
 0.087      |   1.928 |   1.449 | \pm 0.004     |  18.14 |  14.19 | \pm 0.87    | 0.48         |  7 .9 | \pm  0.38   | \pm  0.35   | \pm  1.01   
 0.066      |   1.456 |   1.131 | \pm 0.004     |  17.03 |  13.51 | \pm 0.91    | 0.48         |  6 .6 | \pm  0.32   | \pm  0.35   | \pm  1.03   
-------------------------------------------------------------------------------------------------------------------------------------------------


(Table XII)	Centrality 45-55%
-------------------------------------------------------------------------------------------------------------------------------------------------
 \delta\eta | <\mu_c> | <\mu>   | \delta<\mu_c> | <k_c>  | <k>    | \delta<k_c> | <\chi^2/NDF> | <NDF> | \delta<k_c> | \delta<k_c> | \delta<k_c> 
            |         |         | (stat)        |        |        | (stat)      |              |       | (dead)      | (fake)      | (total)     
-------------------------------------------------------------------------------------------------------------------------------------------------
 0.700      |  11.838 |   9.163 | \pm 0.038     |  20.15 |  15.59 | \pm 0.61    | 1.14         | 28 .0 | \pm  0.71   | \pm  0.06   | \pm  0.94   
 0.678      |  11.517 |   8.922 | \pm 0.037     |  20.06 |  15.54 | \pm 0.61    | 1.10         | 27 .9 | \pm  0.60   | \pm  0.03   | \pm  0.86   
 0.656      |  11.142 |   8.620 | \pm 0.036     |  19.94 |  15.43 | \pm 0.62    | 1.10         | 26 .6 | \pm  0.48   | \pm  0.08   | \pm  0.79   
 0.634      |  10.759 |   8.311 | \pm 0.035     |  19.94 |  15.40 | \pm 0.64    | 1.08         | 25 .8 | \pm  0.47   | \pm  0.11   | \pm  0.80   
 0.613      |  10.380 |   8.013 | \pm 0.035     |  19.99 |  15.43 | \pm 0.65    | 1.06         | 24 .9 | \pm  0.51   | \pm  0.08   | \pm  0.83   
 0.591      |  10.005 |   7.721 | \pm 0.034     |  19.95 |  15.39 | \pm 0.67    | 1.06         | 24 .1 | \pm  0.41   | \pm  0.11   | \pm  0.79   
 0.569      |   9.629 |   7.424 | \pm 0.033     |  19.85 |  15.30 | \pm 0.68    | 1.05         | 23 .2 | \pm  0.44   | \pm  0.10   | \pm  0.82   
 0.547      |   9.254 |   7.123 | \pm 0.032     |  19.76 |  15.21 | \pm 0.70    | 1.04         | 22 .5 | \pm  0.47   | \pm  0.12   | \pm  0.85   
 0.525      |   8.879 |   6.824 | \pm 0.031     |  19.73 |  15.16 | \pm 0.72    | 1.02         | 21 .8 | \pm  0.42   | \pm  0.11   | \pm  0.84   
 0.503      |   8.505 |   6.525 | \pm 0.030     |  19.69 |  15.10 | \pm 0.74    | 0.96         | 21 .4 | \pm  0.42   | \pm  0.13   | \pm  0.86   
 0.481      |   8.130 |   6.222 | \pm 0.030     |  19.63 |  15.02 | \pm 0.76    | 0.89         | 20 .7 | \pm  0.44   | \pm  0.14   | \pm  0.89   
 0.459      |   7.751 |   5.915 | \pm 0.029     |  19.62 |  14.97 | \pm 0.79    | 0.77         | 20 .1 | \pm  0.49   | \pm  0.14   | \pm  0.94   
 0.438      |   7.370 |   5.604 | \pm 0.028     |  19.66 |  14.95 | \pm 0.82    | 0.66         | 19 .6 | \pm  0.49   | \pm  0.14   | \pm  0.96   
 0.416      |   6.991 |   5.295 | \pm 0.027     |  19.74 |  14.95 | \pm 0.85    | 0.63         | 18 .8 | \pm  0.49   | \pm  0.16   | \pm  1.00   
 0.394      |   6.612 |   4.988 | \pm 0.026     |  19.80 |  14.94 | \pm 0.89    | 0.62         | 18 .1 | \pm  0.55   | \pm  0.17   | \pm  1.06   
 0.372      |   6.236 |   4.684 | \pm 0.025     |  19.79 |  14.86 | \pm 0.93    | 0.58         | 17 .3 | \pm  0.56   | \pm  0.17   | \pm  1.10   
 0.350      |   5.868 |   4.395 | \pm 0.017     |  19.74 |  14.79 | \pm 0.69    | 0.58         | 16 .7 | \pm  0.55   | \pm  0.20   | \pm  0.91   
 0.328      |   5.502 |   4.131 | \pm 0.017     |  19.58 |  14.75 | \pm 0.72    | 0.62         | 16 .1 | \pm  0.52   | \pm  0.21   | \pm  0.91   
