Cent00-10	DeltaPhi 	p_{T} (GeV/c) 	R_{AA} 	p_{T} Uncorr 	Rat. (%) 	p_{T} Corr. 	Rat. (%) 	Global 	Rat. (%)
40-50 & 00-15 & 5.5 & 6.8765e-01 & 7.6953e-03 & 1.12 & 1.7012e-02 & 2.47 \\ 
40-50 & 00-15 & 6.5 & 6.8249e-01 & 1.3463e-02 & 1.97 & 1.5218e-02 & 2.23 \\ 
40-50 & 00-15 & 7.5 & 6.4742e-01 & 2.1104e-02 & 3.26 & 1.4759e-02 & 2.28 \\ 
40-50 & 00-15 & 8.5 & 7.0214e-01 & 3.3485e-02 & 4.77 & 1.7003e-02 & 2.42 \\ 
40-50 & 00-15 & 9.5 & 7.9524e-01 & 5.5091e-02 & 6.93 & 2.4742e-02 & 3.11 \\ 
40-50 & 00-15 & 11 & 7.1097e-01 & 5.5280e-02 & 7.78 & 2.2619e-02 & 3.18 \\ 
40-50 & 00-15 & 13 & 6.4312e-01 & 1.1004e-01 & 17.1 & 3.7925e-02 & 5.9 \\ 
40-50 & 00-15 & 15 & 5.5305e-01 & 1.5159e-01 & 27.4 & 5.3594e-02 & 9.69 \\ 
40-50 & 00-15 & 17 & 3.2368e-01 & 2.2887e-01 & 70.7 & 7.5313e-02 & 23.3 \\ 
40-50 & 15-30 & 5.5 & 6.6973e-01 & 7.4549e-03 & 1.11 & 1.2895e-02 & 1.93 \\ 
40-50 & 15-30 & 6.5 & 6.5773e-01 & 1.3045e-02 & 1.98 & 1.1347e-02 & 1.73 \\ 
40-50 & 15-30 & 7.5 & 6.1986e-01 & 2.0486e-02 & 3.3 & 1.0949e-02 & 1.77 \\ 
40-50 & 15-30 & 8.5 & 6.1243e-01 & 3.0943e-02 & 5.05 & 1.1512e-02 & 1.88 \\ 
40-50 & 15-30 & 9.5 & 6.5537e-01 & 4.9403e-02 & 7.54 & 1.6075e-02 & 2.45 \\ 
40-50 & 15-30 & 11 & 5.5583e-01 & 4.8574e-02 & 8.74 & 1.3914e-02 & 2.5 \\ 
40-50 & 15-30 & 13 & 6.4089e-01 & 1.0550e-01 & 16.5 & 2.8812e-02 & 4.5 \\ 
40-50 & 15-30 & 15 & 4.0080e-01 & 1.4543e-01 & 36.3 & 2.9600e-02 & 7.39 \\ 
40-50 & 15-30 & 17 & 6.4990e-01 & 3.2495e-01 & 50 & 1.0904e-01 & 16.8 \\ 
40-50 & 30-45 & 5.5 & 5.6700e-01 & 6.7019e-03 & 1.18 & 4.4870e-03 & 0.791 \\ 
40-50 & 30-45 & 6.5 & 5.8110e-01 & 1.2058e-02 & 2.08 & 4.0701e-03 & 0.7 \\ 
40-50 & 30-45 & 7.5 & 5.7974e-01 & 1.9324e-02 & 3.33 & 4.1684e-03 & 0.719 \\ 
40-50 & 30-45 & 8.5 & 5.0498e-01 & 2.7701e-02 & 5.49 & 3.8753e-03 & 0.767 \\ 
40-50 & 30-45 & 9.5 & 5.7418e-01 & 4.5337e-02 & 7.9 & 5.9316e-03 & 1.03 \\ 
40-50 & 30-45 & 11 & 5.6811e-01 & 4.8209e-02 & 8.49 & 5.9613e-03 & 1.05 \\ 
40-50 & 30-45 & 13 & 4.8932e-01 & 9.1338e-02 & 18.7 & 8.6566e-03 & 1.77 \\ 
40-50 & 30-45 & 15 & 4.3318e-01 & 1.3806e-01 & 31.9 & 1.2582e-02 & 2.9 \\ 
40-50 & 30-45 & 17 & 9.8138e-01 & 4.0065e-01 & 40.8 & 5.8721e-02 & 5.98 \\ 
40-50 & 45-60 & 5.5 & 4.9262e-01 & 6.0520e-03 & 1.23 & 4.5425e-03 & 0.922 \\ 
40-50 & 45-60 & 6.5 & 5.2334e-01 & 1.1069e-02 & 2.11 & 4.1935e-03 & 0.801 \\ 
40-50 & 45-60 & 7.5 & 5.2454e-01 & 1.7922e-02 & 3.42 & 4.3287e-03 & 0.825 \\ 
40-50 & 45-60 & 8.5 & 5.3973e-01 & 2.7823e-02 & 5.16 & 4.7659e-03 & 0.883 \\ 
40-50 & 45-60 & 9.5 & 4.9033e-01 & 4.0594e-02 & 8.28 & 6.0935e-03 & 1.24 \\ 
40-50 & 45-60 & 11 & 4.5003e-01 & 4.1895e-02 & 9.31 & 5.6323e-03 & 1.25 \\ 
40-50 & 45-60 & 13 & 6.1283e-01 & 9.9842e-02 & 16.3 & 1.1832e-02 & 1.93 \\ 
40-50 & 45-60 & 15 & 4.6226e-01 & 1.3344e-01 & 28.9 & 1.4641e-02 & 3.17 \\ 
40-50 & 45-60 & 17 & 6.5917e-01 & 3.2958e-01 & 50 & 3.8294e-02 & 5.81 \\ 
40-50 & 60-75 & 5.5 & 4.3306e-01 & 5.4627e-03 & 1.26 & 1.2731e-02 & 2.94 \\ 
40-50 & 60-75 & 6.5 & 4.5650e-01 & 1.0027e-02 & 2.2 & 1.1414e-02 & 2.5 \\ 
40-50 & 60-75 & 7.5 & 4.3208e-01 & 1.5780e-02 & 3.65 & 1.1157e-02 & 2.58 \\ 
40-50 & 60-75 & 8.5 & 4.9077e-01 & 2.5887e-02 & 5.27 & 1.3571e-02 & 2.77 \\ 
40-50 & 60-75 & 9.5 & 4.6397e-01 & 3.8271e-02 & 8.25 & 1.8956e-02 & 4.09 \\ 
40-50 & 60-75 & 11 & 4.8008e-01 & 4.1492e-02 & 8.64 & 1.9531e-02 & 4.07 \\ 
40-50 & 60-75 & 13 & 4.5286e-01 & 8.6564e-02 & 19.1 & 2.5856e-02 & 5.71 \\ 
40-50 & 60-75 & 15 & 3.2700e-01 & 1.1368e-01 & 34.8 & 3.0602e-02 & 9.36 \\ 
40-50 & 60-75 & 17 & 8.2918e-01 & 3.7082e-01 & 44.7 & 1.2833e-01 & 15.5 \\ 
40-50 & 75-90 & 5.5 & 3.8937e-01 & 5.0396e-03 & 1.29 & 1.7302e-02 & 4.44 \\ 
40-50 & 75-90 & 6.5 & 4.1951e-01 & 9.4644e-03 & 2.26 & 1.5605e-02 & 3.72 \\ 
40-50 & 75-90 & 7.5 & 4.1020e-01 & 1.5244e-02 & 3.72 & 1.5782e-02 & 3.85 \\ 
40-50 & 75-90 & 8.5 & 4.0928e-01 & 2.3224e-02 & 5.67 & 1.6855e-02 & 4.12 \\ 
40-50 & 75-90 & 9.5 & 4.4818e-01 & 3.7053e-02 & 8.27 & 2.8210e-02 & 6.29 \\ 
40-50 & 75-90 & 11 & 3.8058e-01 & 3.6383e-02 & 9.56 & 2.3641e-02 & 6.21 \\ 
40-50 & 75-90 & 13 & 5.6409e-01 & 9.6933e-02 & 17.2 & 4.6128e-02 & 8.18 \\ 
40-50 & 75-90 & 15 & 4.4704e-01 & 1.2905e-01 & 28.9 & 5.9887e-02 & 13.4 \\ 
40-50 & 75-90 & 17 & 3.3286e-01 & 2.3537e-01 & 70.7 & 6.9365e-02 & 20.8 \\ 
            
            
Cent50-60	DeltaPhi 	p_{T} (GeV/c) 	R_{AA} 	p_{T} Uncorr 	Rat. (%) 	p_{T} Corr. 	Rat. (%) 	Global 	Rat. (%)
50-60 & 00-15 & 5.5 & 8.6917e-01 & 1.1903e-02 & 1.37 & 2.4775e-02 & 2.85 \\ 
50-60 & 00-15 & 6.5 & 9.1135e-01 & 2.1518e-02 & 2.36 & 2.7571e-02 & 3.03 \\ 
50-60 & 00-15 & 7.5 & 8.2191e-01 & 3.2769e-02 & 3.99 & 2.3848e-02 & 2.9 \\ 
50-60 & 00-15 & 8.5 & 9.0478e-01 & 5.4108e-02 & 5.98 & 3.5498e-02 & 3.92 \\ 
50-60 & 00-15 & 9.5 & 9.4488e-01 & 8.3437e-02 & 8.83 & 4.6478e-02 & 4.92 \\ 
50-60 & 00-15 & 11 & 8.9114e-01 & 8.8280e-02 & 9.91 & 5.0003e-02 & 5.61 \\ 
50-60 & 00-15 & 13 & 9.5346e-01 & 1.8071e-01 & 19 & 7.6514e-02 & 8.02 \\ 
50-60 & 00-15 & 15 & 7.7438e-01 & 2.7378e-01 & 35.4 & 1.4646e-01 & 18.9 \\ 
50-60 & 00-15 & 17 & 6.8959e-01 & 4.8761e-01 & 70.7 & 1.7327e-01 & 25.1 \\ 
50-60 & 15-30 & 5.5 & 8.4015e-01 & 1.1481e-02 & 1.37 & 1.8817e-02 & 2.24 \\ 
50-60 & 15-30 & 6.5 & 8.4889e-01 & 2.0440e-02 & 2.41 & 2.0263e-02 & 2.39 \\ 
50-60 & 15-30 & 7.5 & 7.5776e-01 & 3.1172e-02 & 4.11 & 1.7135e-02 & 2.26 \\ 
50-60 & 15-30 & 8.5 & 8.1945e-01 & 5.0577e-02 & 6.17 & 2.5601e-02 & 3.12 \\ 
50-60 & 15-30 & 9.5 & 7.4737e-01 & 7.3867e-02 & 9.88 & 2.9791e-02 & 3.99 \\ 
50-60 & 15-30 & 11 & 6.6855e-01 & 7.6304e-02 & 11.4 & 2.9829e-02 & 4.46 \\ 
50-60 & 15-30 & 13 & 1.1004e+00 & 1.9211e-01 & 17.5 & 7.3333e-02 & 6.66 \\ 
50-60 & 15-30 & 15 & 8.5522e-01 & 3.0904e-01 & 36.1 & 1.2495e-01 & 14.6 \\ 
50-60 & 15-30 & 17 & 9.8947e-01 & 5.7127e-01 & 57.7 & 2.1224e-01 & 21.4 \\ 
50-60 & 30-45 & 5.5 & 7.2975e-01 & 1.0339e-02 & 1.42 & 6.8515e-03 & 0.939 \\ 
50-60 & 30-45 & 6.5 & 7.3582e-01 & 1.8413e-02 & 2.5 & 7.4255e-03 & 1.01 \\ 
50-60 & 30-45 & 7.5 & 6.4571e-01 & 2.8216e-02 & 4.37 & 6.0032e-03 & 0.93 \\ 
50-60 & 30-45 & 8.5 & 7.3601e-01 & 4.6370e-02 & 6.3 & 9.8757e-03 & 1.34 \\ 
50-60 & 30-45 & 9.5 & 8.0152e-01 & 7.2772e-02 & 9.08 & 1.4230e-02 & 1.78 \\ 
50-60 & 30-45 & 11 & 7.1589e-01 & 7.6570e-02 & 10.7 & 1.3644e-02 & 1.91 \\ 
50-60 & 30-45 & 13 & 8.3944e-01 & 1.6300e-01 & 19.4 & 2.6177e-02 & 3.12 \\ 
50-60 & 30-45 & 15 & 1.1016e+00 & 3.1800e-01 & 28.9 & 6.4925e-02 & 5.89 \\ 
50-60 & 30-45 & 17 & 2.9943e-01 & 5.9886e-01 & 200 & 3.1796e-02 & 10.6 \\ 
50-60 & 45-60 & 5.5 & 5.8923e-01 & 8.8800e-03 & 1.51 & 6.6434e-03 & 1.13 \\ 
50-60 & 45-60 & 6.5 & 5.9272e-01 & 1.5754e-02 & 2.66 & 7.2721e-03 & 1.23 \\ 
50-60 & 45-60 & 7.5 & 6.2804e-01 & 2.6821e-02 & 4.27 & 6.7753e-03 & 1.08 \\ 
50-60 & 45-60 & 8.5 & 5.2005e-01 & 3.7541e-02 & 7.22 & 8.6291e-03 & 1.66 \\ 
50-60 & 45-60 & 9.5 & 6.5613e-01 & 6.2352e-02 & 9.5 & 1.5225e-02 & 2.32 \\ 
50-60 & 45-60 & 11 & 6.1883e-01 & 6.8164e-02 & 11 & 1.4398e-02 & 2.33 \\ 
50-60 & 45-60 & 13 & 6.4520e-01 & 1.3325e-01 & 20.7 & 2.8300e-02 & 4.39 \\ 
50-60 & 45-60 & 15 & 8.7811e-01 & 2.7768e-01 & 31.6 & 5.8313e-02 & 6.64 \\ 
50-60 & 45-60 & 17 & 5.0975e-01 & 5.6992e-01 & 112 & 8.3103e-02 & 16.3 \\ 
50-60 & 60-75 & 5.5 & 5.1317e-01 & 7.7955e-03 & 1.52 & 1.9121e-02 & 3.73 \\ 
50-60 & 60-75 & 6.5 & 5.2986e-01 & 1.4022e-02 & 2.65 & 2.1783e-02 & 4.11 \\ 
50-60 & 60-75 & 7.5 & 5.8486e-01 & 2.5004e-02 & 4.28 & 1.9910e-02 & 3.4 \\ 
50-60 & 60-75 & 8.5 & 5.2468e-01 & 3.5657e-02 & 6.8 & 2.9510e-02 & 5.62 \\ 
50-60 & 60-75 & 9.5 & 5.0855e-01 & 5.1401e-02 & 10.1 & 4.2742e-02 & 8.4 \\ 
50-60 & 60-75 & 11 & 5.1037e-01 & 6.0032e-02 & 11.8 & 3.9467e-02 & 7.73 \\ 
50-60 & 60-75 & 13 & 4.5421e-01 & 1.0045e-01 & 22.1 & 7.8834e-02 & 17.4 \\ 
50-60 & 60-75 & 15 & 8.4101e-01 & 2.6595e-01 & 31.6 & 1.7039e-01 & 20.3 \\ 
50-60 & 60-75 & 17 & 4.0881e-01 & 2.8908e-01 & 70.7 & 2.9609e-01 & 72.4 \\ 
50-60 & 75-90 & 5.5 & 4.4007e-01 & 6.9687e-03 & 1.58 & 2.5468e-02 & 5.79 \\ 
50-60 & 75-90 & 6.5 & 4.4349e-01 & 1.2311e-02 & 2.78 & 2.8600e-02 & 6.45 \\ 
50-60 & 75-90 & 7.5 & 4.8887e-01 & 2.2448e-02 & 4.59 & 2.4901e-02 & 5.09 \\ 
50-60 & 75-90 & 8.5 & 4.9870e-01 & 3.3443e-02 & 6.71 & 4.4169e-02 & 8.86 \\ 
50-60 & 75-90 & 9.5 & 3.7135e-01 & 4.2031e-02 & 11.3 & 5.1703e-02 & 13.9 \\ 
50-60 & 75-90 & 11 & 4.6594e-01 & 5.5002e-02 & 11.8 & 5.5801e-02 & 12 \\ 
50-60 & 75-90 & 13 & 4.3583e-01 & 9.2122e-02 & 21.1 & 1.3442e-01 & 30.8 \\ 
50-60 & 75-90 & 15 & 4.9104e-01 & 2.0047e-01 & 40.8 & 1.4534e-01 & 29.6 \\ 
50-60 & 75-90 & 17 & 1.6811e-01 & 1.6811e-01 & 100 & 2.4004e-01 & 143 \\ 
            
            
